Spanish,English
aceptable,acceptable
volverme,Back
urgencia,urgency
sentarnos,sit
roman,Roman
privados,private
postura,position
ponernos,put on
peluca,wig
parecería,it would seem
palomitas,Popcorn
nocturna,Night
mercenarios,mercenaries
maricas,fags
mantendrá,will keep
intenten,Try
guardas,you keep
grúa,crane
gastado,spent
estrelló,crashed
digital,digital
dieran,DIE
corría,It ran
capturar,capture
campeones,Champions
ardilla,squirrel
apaguen,turn off
amen,amen
acostumbrada,accustomed
sugerir,suggest
sucias,dirty
succión,suction
registrar,to register
propietario,owner
portero,goalie
perdonarme,forgive me
parados,unemployed
ofrecido,offered
muevete,move on
marcharme,leave
marchado,left
israel,Israel
informarle,Inform you
hablaban,They talked
ganadores,Winners
firmas,firms
expresar,express
empezaba,It started
despierten,wake up
crearon,They created
claridad,clarity
ciegos,Blind
bloque,block
alterado,altered
vestirme,Dress
velada,evening
serias,Serious
salvarla,save her
procedimientos,procedures
porche,porch
ponerla,put it
pasemos,Let's pass
pala,shovel
ogros,OGROS
movió,moved
molestarme,annoy me
menuda,What's small
hostil,hostile
epidemia,epidemic
enséñame,teach me
deténganlo,stop it
detenernos,stop
describir,describe
concedido,granted
comunicado,release
comparar,compare
cogeré,I will take
callas,Shuts
busques,Look
acercándose,Approaching
abandona,Abandon
volado,flown
ventajas,advantages
tubería,pipeline
traicionaste,You betrayed
traerla,bring it
suministros,Supplies
regresando,coming back
recientes,Recent
puñado,handful
pretender,pretend
pasadas,past
guardo,I keep
girando,Touring
fugitivo,fugitive
escoba,broom
escaparse,escape
empleos,jobs
echen,Echen
duran,Duran
duque,duke
dondequiera,wherever
dibujar,draw
destinado,intended
dedico,I dedicate
cuidadoso,careful
cristales,crystals
creerte,Believe you
clavo,nail
cápsula,capsule
bastón,walking stick
atencion,attention
aliado,ally
agradece,Thanks
acepté,I accepted
aceptaré,I will accept
aborten,abort
utilizado,used
tranvía,trolley car
trágico,tragic
tequila,tequila
sostener,hold
serviría,It would serve
retira,withdraw
redonda,Round
realizado,done
protocolos,protocols
potente,powerful
pensábamos,We thought
mexicanos,Mexicans
llévatelo,take it away
inmortalidad,immortality
infectada,infected
experta,Expert
ética,ethics
estancia,stay
específico,specific
empezaré,I will start
ejecutar,execute
echarme,throw me
déjalos,leave them
comisionado,Commissioner
chispas,sparks
cerramos,we close
atraco,robbery
asignado,assigned
asesinaste,You killed
armar,to assemble
acuérdate,remember
vosotras,you
unidas,United
tránsito,transit
suceso,event
presiento,I feel
patadas,kicks
obtuve,I obtained
músculo,muscle
legalmente,legally
imaginarme,imagine
honores,honors
gordos,Gordos
furiosa,Furious
funcionado,worked
fallé,I failed
escóndete,Side yourself
declaraciones,statements
cumplió,fulfilled
cuerno,horn
comienzan,They start
clementina,Clementine
católica,Catholic
carcel,jail
cansados,tired
brasil,Brazil
asado,roast
álbum,album
abdominal,abdominal
volvimos,We returned
supermercado,Supermarket
sujeta,subject
suavemente,gently
salvando,saving
reventar,burst
rastreo,tracking
quienquiera,whoever
pretendo,I intend
pertenecía,belonged
perdono,Forgive
pequeñín,little guy
paganos,Pagans
onu,UN
obtuviste,You got
obliga,forces
nobel,Nobel
levántense,Get up
lastime,hurt
inconveniente,inconvenient
flexible,flexible
favoritas,Favoritas
escaparon,They escaped
corres,run
correctas,correct
copiado,copied
convertí,I converted
burla,derision
atrevido,bold
alejarme,get away
abordar,tackle
abejas,bees
vuelan,They fly
surgió,It arose
rechazar,decline
noto,I notice
negociaciones,talks
llamara,call to
irónico,ironic
inmediata,immediate
incluido,including
hábito,habit
etc,etc
escapé,exhaust
entraré,I will enter
encendedor,lighter
eches,You throw
dramático,dramatic
dominar,to dominate
demandas,demands
decido,I decide
cumplo,I fulfill
corrió,ran
conducto,conduit
choca,It clashes
area,area
arbusto,bush
ajo,garlic
yankees,Yankees
violó,raped
valía,It was worth
tijeras,scissors
sugieres,Suggests
rodea,surrounds
revisé,check
programación,programming
privadas,private
presidencial,presidential
necesitaban,They needed
navegación,navigation
mencioné,I mentioned
maravillosos,wonderful
llamarle,to call him
late,beat
frecuencias,Frequencies
estreno,premiere
encargue,order
empuje,push
empeorar,worsen
dormiré,I will sleep
desaparecidos,missing
dejenme,leave me
dare,I will give
culturas,cultures
concreto,concrete
cesar,cease
caía,It fell
bailas,Dailers
autorizada,Authorized
aleluya,Hallelujah
yanquis,Yankees
villano,villain
superhéroe,Super Hero
separar,pull apart
quítese,Take off
preparación,preparation
preocupaciones,concerns
porcentaje,percentage
ofendido,insulted
merecido,deserved
matemática,math
marea,tide
márchate,Marchae
limpios,Clean
jinetes,riders
ingresos,income
infinito,infinite
globos,Balloons
futura,future
filme,film
estudiado,studied
escondes,You hide
enfoque,approach
confirma,Confirm
concentrarme,concentrate
casamiento,marriage
bombardeo,bombing
bolígrafo,pen
atravesando,crossing
atrapan,They catch
aproxima,approximates
antepasados,ancestors
anteojos,glasses
amabilidad,kindness
aislamiento,isolation
verga,cock
veis,You see
universitario,academic
traigas,Bring
tocino,bacon
tito,Titus
tires,TIRS
talentoso,talented
rodeados,surrounded
riñones,kidneys
quites,Remove
puños,fists
preparé,I prepared
pipa,pipe
percepción,perception
mostrarles,show them
mostrador,counter
habitantes,population
golpeaste,You hit
gelatina,jelly
explicaciones,Explanations
espina,Thorn
enterrada,buried
doblar,fold
devuelvo,I return
descubrimos,We discover
declaró,declared
cristiana,Christian
crío,child
conquista,conquest
confiado,trusted
cómics,comics
bolos,bowling
barriga,belly
aparecerá,It will appear
agradecidos,Grateful
aficionado,amateur
yace,lies
sucedería,It would happen
ruptura,breaking off
quítale,Remove it
protegida,Protected
perdamos,Let's lose
negó,denied
mantienes,You keep
maniobra,maneuver
jurar,swear
impresionar,impress
ilusiones,delusions
ignorante,ignorant
generadores,generators
figuras,Figures
exhausto,exhausted
enfrentarse,face
duelen,they hurt
divertirte,fun
dirigimos,We direct
dental,dental
cuénteme,tell me
correos,mail
carolina,Carolina
campesinos,farmers
bombarderos,Bombers
bares,pubs
vendes,You sell
suero,serum
sermón,sermon
puerco,pig
provoca,causes
prestas,lend
pidas,ask
pasarán,They will pass
paces,PACES
oponente,opponent
oigas,Hey
maya,Maya
lastimes,you hurt
jardinero,gardener
interferir,interfere
importará,It will import
hablarles,Talk to them
ganaremos,we will win
forzado,forced
explicarme,Explain
espérenme,wait for me
enamoré,I fell in love
disturbios,unrest
devuélveme,give me back
detenerla,stop it
cuanta,how much
clásica,classic
chaleco,vest
cafe,coffee
ballena,whale
bajaré,I will go down
amos,masters
altitud,altitude
acontecimientos,events
acababa,It ended
vigilante,vigilant
tomografía,tomography
resurrección,Resurrection
rencor,resentment
probemos,Let's try
pólvora,gunpowder
ofensiva,offensive
nono,no no
narcóticos,Narcotics
mudar,move
intentaste,you tried
ganarle,win
forman,form
ficha,file
ferrocarril,railway
falleció,passed away
divierte,fun
directores,Directors
dificultad,difficulty
desesperadamente,desperately
démosle,Let's give it
culos,asses
creyendo,believing
comprador,buyer
casaré,I will marry
balance,balance
asustes,scares
alienígena,alien
alcanzo,reached
ventilación,ventilation
tregua,truce
traficantes,traffickers
subterráneo,Underground
simulación,simulation
secuestradores,Kidnappers
sangra,bleeds
resolverlo,work it out
realeza,royalty
presidenta,Chairwoman
pensaban,They thought
parecida,similar
pagarme,pay me
oraciones,prayers
marruecos,Morocco
levantate,Get up
lastimé,I hurt
iniciales,initials
imitación,imitation
financiera,financial
exquisito,exquisite
esponja,sponge
entrevistas,Interviews
enterarme,find out
entenderá,will understand
enseñas,Teaches
convertirte,convert
cansé,I got tired
cambiaría,would change
bang,Bang
arresten,arrest
argentina,Argentina
adjunto,attach
acordado,agreed
trofeo,trophy
trayendo,Bringing
seguras,safe
satélites,Satellites
sacarlos,take them out
rezo,I pray
regular,regular
pretendes,You pretend
póliza,policy
piérdete,PDe you
marqués,marquis
malvados,evil
leia,Leia
invitarte,invite you
fanático,fanatic
factura,bill
extrañaré,I'll miss
escoria,human waste
décadas,decades
cortada,cut
considere,Consider
comprensión,comprehension
codo,elbow
claras,Clear
calme,calm
cabras,goats
balazo,shot
bájala,Get it
babilonia,Babylon
arruiné,I ruined
arbustos,shrubbery
apodo,nickname
alumna,student
aleja,Away
albania,Albania
ahogado,drowned
acercamos,We approach
abrimos,We open
veterinario,vet
vecina,neighbor
usada,used
puros,Pure
puntería,aim
públicas,public
pronóstico,forecast
planeas,you plan
pasarla,pass it
optimista,optimistic
odiaría,I would hate
obreros,workers
mentiría,I'd lie
marino,Marine
luchamos,We fight
letal,lethal
judicial,judicial
exceso,excess
enigma,enigma
canasta,basket
buscarlos,look for them
blues,blues
apunto,I point
aparatos,devices
aguante,endurance
agarramos,We grab
adictos,addicts
vinci,Vinci
tramando,plotting
tácticas,Tactics
sostiene,holds
signifique,mean
significar,mean
sato,Sato
sarcófago,sarcophagus
reportaje,reportage
religiosa,religious
reconstruir,rebuild
propone,proposes
precaución,caution
portador,carrier
popa,Stern
parlamento,parliament
ofrecerte,offer you
ocuparse,occupy
nombrar,to name
molestan,They bother
lecturas,Readings
iríamos,we would go
haríamos,We would do
guardería,kindergarten
francotiradores,snipers
exista,exists
evidentemente,evidently
enfrenta,Face
destruya,destroy
defenderse,fend
continente,continent
consideran,consider
ausente,absent
anochecer,to become night
alrededores,surroundings
aduana,customs
winchester,Winchester
utah,Utah
ultimamente,lately
sospechosa,suspicious
séptimo,seventh
seguirme,Follow me
sálvame,save me
romeo,Romeo
robos,robberies
ratones,mice
quitarse,take off
publico,public
profeta,prophet
presentarle,present
paramédicos,paramedics
opiniones,Opinions
mostrado,shown
miramos,We look
invertido,invested
ídolo,idol
hijita,daughter
ganancia,revenue
esperaría,I would expect
esperará,will wait
dudar,dude
destruyeron,They destroyed
construida,built
confíes,You trust
comeremos,we will eat
bus,Bus
bienestar,welfare
bailamos,we Dance
ayudaremos,We will help
autodestrucción,self destruction
ahogó,He drowned
acercarte,approach
violentos,violent
valga,Valga
vacíos,empty
triángulo,triangle
traslado,transfer
tigres,Tigers
supieran,They knew
sorprendida,Surprised
solían,They used to
soda,soda
secundarios,secondary
secuestrador,kidnapper
recupera,recover
rechazo,rejection
ramas,branches
preciosas,Beautiful
ofrecieron,They offered
locuras,crazy things
lino,linen
libera,Libera
legítimo,legitimate
lastimó,hurt
huérfanos,orphans
generosa,generous
exijo,I demand
escáner,scanner
entenderás,You will understand
desaparecen,They disappear
cruzó,crossed
continuará,to be continue
confirmada,confirmed
cocinera,cook
claros,Clear ones
ciclo,cycle
caminas,You walk
bando,Bando
avergonzada,"embarrassed, ashamed"
atraviesa,It crosses
atentamente,sincerely
arruinando,ruining
adicción,addiction
violenta,violent
únicamente,only
suéter,sweater
sudor,sweat
significaría,would mean
reemplazo,replacement
quiebra,bankruptcy
peligros,Dangers
matare,Matar
llamare,I will call
litro,liter
irías,would you go
humillación,humiliation
glorioso,glorious
gasto,spent
faro,lighthouse
exclusiva,exclusive
entrenando,training
empezará,begin to
diabetes,diabetes
conteo,counting
centros,centers
captura,capture
balcón,balcony
asegúrese,Make sure
arder,burn
apretar,squeeze
aprenderás,you'll learn
abrieron,They opened
visitarme,visit me
verduras,vegetables
venecia,Venice
vendrían,They would come
vales,vouchers
tardaste,Tarda
suicidarse,commit suicide
simio,ape
sensibilidad,sensitivity
retire,Remove
respondió,answered
rendirse,surrender
pusiera,put
principalmente,mostly
preferida,preferred
órgano,organ
operador,operator
náuseas,nausea
mudarse,move
mirame,Look at me
mátalos,Mátalos
madam,Madam
llevare,I will take
invitaron,They invited
intruso,intruder
idiomas,languages
hoguera,bonfire
hablara,to talk to
genes,genes
entregas,deliveries
encontrada,found
echarte,throw you
echamos,We throw
devuelva,return
detenerte,stop
deshacer,undo
cosmo,cosmo
comprarle,Buy you
comenzaremos,we will begin
cerré,I closed
bloqueando,blocking
asustarte,scare you
asegura,assures
vitaminas,Vitamins
vengarse,get revenge
valla,fence
trozos,pieces
tímida,Shy
superado,overcome
sueña,sounds
seguidos,followed
salvavidas,life jacket
remolque,trailer
prometer,pledge
proceder,proceed
prepararme,Prepare myself
pediatría,pediatrics
pagos,Payments
pagarte,pay you
ninja,Ninja
nieta,granddaughter
motocicleta,motorcycle
mostrando,showing
montana,mountain
miedos,Fears
mantendremos,We will keep
mandíbula,jaw
luchas,fights
logras,You achieve
levanté,I raised
lanzado,thrown out
intrusos,Intruders
insistió,insisted
habria,there would be
gritó,shout
ganarme,win me
decepción,disappointment
cubriendo,covering
continuemos,let's continue
consideración,consideration
conduzco,I drive
colchón,mattress
chupa,suck
camisas,shirts
buscabas,You were looking for
bloqueo,blocking
armamento,armament
amenazando,threatening
alias,alias
virginidad,virginity
vengar,avenge
tornado,twister
series,series
sácala,Take it out
rompan,Break
responden,They respond
reclamar,claim
presentaré,I will present
preguntamos,we asked
predicador,preacher
pintor,painter
paguen,pay
ofreciendo,offering
matriz,matrix
maricones,fags
libra,pound
jugó,juice
jodió,fucked up
invité,I invited
inodoro,lavatory
ingresar,get into
ignorancia,ignorance
ibamos,we were going
gustara,will like
extiende,extends
exagerando,exaggerating
cuido,I take care of
cuidarte,watch over you
colapso,collapse
buzón,mailbox
buenísimo,Great
bretaña,Brittany
bree,Bree
bárbaro,barbarian
asombrosa,amazing
alérgico,allergic
acostaste,You lying down
abrirlo,open it
vip,VIP
trueno,thunder
tesoros,Treasures
superhéroes,Superheros
seras,you will
rotas,broken
recupere,recover
quejarte,complain
pulgar,thumb
pillado,caught
pensemos,Let's think
pausa,pause
pandillas,gangs
pagaremos,we will pay
olvidaba,I forgot
normalidad,normal
muérete,die
movido,moved
miligramos,Miligramos
meteré,I will put
matrix,Matrix
honestidad,honesty
golpearme,hit me
frasco,jar
expulsado,expelled
espectros,spectral
cubiertas,covered
confié,I trusted
clemencia,clemency
cago,Cago
bromea,jokes
atún,tuna
ático,penthouse
arreglé,I fixed
amnesia,amnesia
acusa,accuses
situacion,situation
servidor,server
seran,will be
recoja,collect
ramón,Ramón
psiquiátrico,psychiatric
protesto,protest
prisiones,prisons
porquerías,Because you
pondrán,They will put
munición,ammunition
mudarnos,move
molesten,bother
mentales,mental
llámalo,call it
jurisdicción,jurisdiction
informante,informant
guardan,keep
frases,phrases
estuviéramos,We were
estaria,It would
enviará,send to
entorno,around
engañarme,fool me
enfrentamos,we face
diviértanse,have fun
distracción,distraction
déjale,Leave him
cuadrante,quadrant
cuaderno,notebook
caminaba,walked
bledo,Bledo
altar,altar
zanahoria,carrot
viviremos,We will live
tomada,Taken
tendras,you will have
sugirió,He suggested
rabino,rabbi
quisiéramos,We would like
promoción,promotion
práctico,practical
peleo,I fight
pálido,pale
pagaste,You paid
orfanato,orphanage
operativo,Operational
mutación,mutation
monta,ride
mayoria,most
mandaste,did you send
luto,mourning
llevaban,They carried
interese,interest
indicios,indications
impostor,impostor
histórico,historical
explicas,You explain
estrictamente,strictly
estaras,You will be
establo,barn
diseñador,designer
deprimente,depressing
defectos,defects
crié,CRIE
corregir,correct
caros,expensive
banquero,banker
aparta,depart
analizar,analyze
vainilla,vanilla
transbordador,spacecraft
taxista,cabbie
superficial,superficial
sirviendo,serving
separe,separate
seguiría,would follow
robe,Robe
rituales,Rituals
revela,reveals
régimen,regime
protegen,They protect
preocuparía,I would worry
pollos,Chickens
pis,pee
obsequio,gift
nace,Born
mirarlo,Look at it
manada,herd
hambrientos,Hungry
formulario,form
fibra,fiber
feas,ugly
divertirme,have fun
divertimos,We have fun
culpes,CULPES
creéis,You believe
convento,convent
continúan,They continue
comamos,let's eat
cierran,they close
champagne,champagne
candidatos,candidates
camine,walk
calabozo,dungeon
cal,lime
besa,Kiss
arreglando,fixing up
armonía,harmony
ame,AME
agarraron,They grabbed
aeropuertos,Airports
tope,stop
tontas,dumb
setenta,seventy
rodaje,filming
reuniremos,We will gather
relájese,Relax
recta,straight
psicología,psychology
pierdan,Lose
pastilla,tablet
paseando,walking
pasados,past
ocultando,hiding
movida,move
morirse,die
mérito,merit
marchen,March
ingreso,income
informó,reported
industrias,industries
fundamental,fundamental
francotirador,sniper
flaco,skinny
fallaste,you failed
estambul,Istanbul
entraremos,We will enter
duendes,elves
dobles,double
descubriste,You discovered
derribar,shoot down
demandar,to sue
delincuentes,criminals
cuidarme,Take care of me
créditos,credits
corrí,I ran
cera,wax
brazalete,bracelet
bolsón,Bolsón
apertura,opening
amé,I loved
abandono,abandonment
vivirás,You will live
vendas,bandages
utilizando,using
temible,fearsome
tacto,touch
reporteros,Reporters
reemplazar,replace
prepararte,prepare
precauciones,Precautions
planeamos,we plan
ocuparemos,We will occupy
monja,nun